item;type;poids_g;longueur_cm;largeur_cm;couleur;saveur
banane;fruit;125,56;20,49;3,67;jaune;sucré
courgette;légume;390,65;25,32;5,83;vert;amer
carotte;légume;86,06;14,33;3,13;orange;neutre
banane;fruit;124,66;19,02;4,35;jaune;sucré
tomate;légume;103,96;6,06;5,88;rouge;acide
tomate;légume;85,95;5,26;6,13;rouge;acide
pomme;fruit;165,45;6,98;6,41;vert;acide
orange;fruit;139,91;7,46;7,68;orange;acide
orange;fruit;143,4;7,68;7,84;orange;acide
courgette;légume;333,76;25,31;6,86;vert;amer
pomme;fruit;161,32;6,43;6,68;jaune;acide
banane;fruit;138,06;19,1;4,02;jaune;sucré
tomate;légume;107,12;7,28;5,68;rouge;acide
orange;fruit;147,59;;7,72;orange;acide
concombre;légume;400,46;18,32;4,98;vert;neutre
orange;fruit;147,88;7,36;8,35;orange;sucré
courgette;légume;339,05;26,39;5,67;vert;amer
banane;fruit;132,18;20,03;3,57;jaune;sucré
banane;fruit;121,22;21,17;3,77;jaune;sucré
kiwi;fruit;79,41;5,31;5,14;vert;acide
carotte;légume;108,8;18,78;3,62;orange;neutre
kiwi;fruit;62,03;5,65;4,93;vert;acide
concombre;légume;279,7;18,89;5,3;vert;neutre
courgette;légume;266,78;25,84;5,82;vert;amer
banane;fruit;134,45;16,86;4,57;jaune;sucré
carotte;légume;85,7;16,88;3,19;orange;neutre
kiwi;fruit;80,67;5,23;5,28;jaune;acide
courgette;légume;366,1;23,98;5,51;vert;amer
carotte;légume;84,05;17,66;2,31;orange;neutre
pomme;fruit;;6,83;6,85;jaune;sucré
orange;fruit;153,44;7,59;7,08;orange;sucré
kiwi;fruit;70,9;6,11;5,61;vert;acide
courgette;légume;321,74;23,18;5,6;vert;amer
orange;fruit;178,46;7,33;7,45;orange;sucré
kiwi;fruit;78,3;5,99;4,85;vert;acide
tomate;légume;93,23;6,6;6,09;rouge;acide
courgette;légume;332,95;23,51;;vert;
tomate;légume;103,61;5,7;5,96;rouge;acide
carotte;légume;81,85;16,48;;orange;neutre
orange;fruit;156,72;7,53;8,44;orange;sucré
kiwi;fruit;81,56;5,82;4,12;jaune;acide
orange;fruit;151,25;9,12;8,65;orange;acide
banane;fruit;132,35;18,01;3,74;jaune;sucré
orange;fruit;146,56;7,9;8,05;orange;sucré
banane;fruit;118,27;17,44;4,03;jaune;sucré
banane;fruit;123,02;21,14;4,01;jaune;sucré
banane;fruit;;21,29;4,33;jaune;sucré
courgette;légume;360,89;22,98;4,76;vert;amer
courgette;légume;429,13;24,76;7,1;vert;amer
concombre;légume;318,8;25,83;5,51;vert;neutre
orange;fruit;141,64;7,79;6,67;orange;sucré
pomme;fruit;167,34;;7,03;rouge;acide
orange;fruit;149,49;8,12;7,64;orange;acide
carotte;légume;73,33;19,6;2,84;orange;neutre
pomme;fruit;184,94;6,62;6,29;vert;sucré
pomme;fruit;149,21;7,25;7,74;vert;acide
tomate;légume;101,24;7,28;5,32;rouge;acide
banane;fruit;130,0;21,63;4,3;jaune;sucré
concombre;légume;262,67;23,51;4,44;vert;neutre
concombre;légume;373,7;17,33;5,67;vert;neutre
concombre;légume;339,2;22,71;4,82;vert;neutre
carotte;légume;104,29;21,66;3,21;orange;neutre
courgette;légume;304,93;25,21;5,51;vert;amer
courgette;légume;313,57;21,44;5,85;vert;amer
pomme;fruit;;6,75;7,11;jaune;sucré
concombre;légume;282,79;19,99;4,08;vert;neutre
carotte;légume;91,26;18,63;3,16;orange;neutre
banane;fruit;133,89;23,74;4,0;jaune;sucré
kiwi;fruit;90,66;5,26;5,05;vert;acide
tomate;légume;108,68;5,93;6,37;rouge;acide
tomate;légume;109,29;5,69;6,3;rouge;acide
courgette;légume;253,13;21,49;6,21;vert;amer
carotte;légume;96,25;21,85;2,58;orange;neutre
courgette;légume;424,26;23,52;4,6;vert;amer
banane;fruit;136,89;19,79;3,53;jaune;sucré
tomate;légume;;5,0;;;acide
kiwi;fruit;61,33;5,05;5,25;;acide
orange;fruit;155,31;7,86;9,58;orange;sucré
banane;fruit;135,07;17,83;4,57;jaune;sucré
courgette;légume;344,37;20,98;;vert;amer
orange;fruit;171,02;7,25;8,03;orange;acide
tomate;légume;111,54;5,81;5,58;rouge;acide
concombre;légume;315,51;23,32;4,55;vert;neutre
carotte;légume;91,45;16,99;3,14;orange;neutre
pomme;fruit;157,49;6,86;7,16;rouge;sucré
carotte;légume;107,25;18,81;2,65;orange;neutre
courgette;légume;302,63;26,57;;vert;amer
tomate;légume;91,56;5,4;6,03;rouge;acide
kiwi;fruit;91,56;5,98;5,18;jaune;acide
banane;fruit;118,1;21,63;4,33;jaune;sucré
orange;fruit;165,6;;9,06;orange;sucré
orange;fruit;156,71;8,13;7,88;orange;acide
kiwi;fruit;87,6;5,41;3,98;vert;acide
pomme;fruit;164,46;7,1;6,48;jaune;sucré
concombre;légume;378,91;22,83;5,52;vert;neutre
concombre;légume;352,59;21,99;5,09;vert;neutre
orange;fruit;140,42;6,94;7,61;orange;sucré
concombre;légume;296,64;20,1;5,3;vert;neutre
banane;fruit;;;3,6;jaune;sucré
pomme;fruit;156,02;6,39;7,42;;sucré
concombre;légume;240,15;20,16;5,66;vert;neutre
pomme;fruit;178,1;6,52;;jaune;sucré
kiwi;fruit;78,35;5,72;4,73;jaune;acide
orange;fruit;154,6;8,09;9,17;orange;acide
kiwi;fruit;73,05;6,0;5,05;jaune;acide
kiwi;fruit;78,44;6,12;4,0;vert;acide
orange;fruit;;8,75;8,25;orange;acide
pomme;fruit;141,6;7,11;7,0;vert;acide
tomate;légume;82,59;6,12;6,71;rouge;acide
carotte;légume;118,99;14,05;3,3;orange;neutre
pomme;fruit;166,08;6,0;6,94;vert;acide
orange;fruit;173,01;8,96;8,25;orange;acide
courgette;légume;365,4;23,22;6,16;vert;amer
kiwi;fruit;86,18;6,44;5,77;jaune;acide
kiwi;fruit;;6,14;5,23;vert;acide
carotte;légume;84,12;17,65;;orange;neutre
banane;fruit;126,38;19,39;4,59;jaune;sucré
orange;fruit;170,74;9,0;;orange;sucré
courgette;légume;305,63;25,54;6,21;vert;amer
pomme;fruit;;7,22;6,71;vert;acide
tomate;légume;113,86;5,67;6,5;rouge;acide
tomate;légume;111,76;6,07;6,09;;acide
courgette;légume;393,36;22,12;6,69;vert;amer
courgette;légume;339,05;26,39;5,67;vert;amer
pomme;fruit;167,39;6,65;7,13;rouge;acide
kiwi;fruit;71,35;6,42;4,98;jaune;acide
courgette;légume;334,13;26,66;6,46;vert;amer
banane;fruit;126,77;20,39;4,12;jaune;sucré
kiwi;fruit;98,21;5,35;5,04;jaune;acide
concombre;légume;;19,29;4,91;vert;neutre
orange;fruit;135,76;7,28;8,74;orange;sucré
concombre;légume;365,26;23,24;4,62;vert;neutre
courgette;légume;291,42;24,28;5,23;vert;amer
concombre;légume;346,16;22,82;4,91;vert;neutre
courgette;légume;353,71;26,2;6,02;vert;amer
orange;fruit;157,98;7,78;7,3;orange;sucré
tomate;légume;112,44;6,41;5,95;rouge;acide
courgette;légume;342,65;23,27;5,5;vert;amer
courgette;légume;317,93;24,91;5,89;;amer
banane;fruit;139,25;20,05;4,69;jaune;sucré
carotte;légume;65,09;21,64;3,48;orange;neutre
pomme;fruit;183,46;7,64;7,33;rouge;sucré
carotte;légume;85,2;21,29;3,14;orange;
pomme;fruit;157,39;6,08;6,79;;sucré
pomme;fruit;161,41;7,27;7,38;rouge;
courgette;légume;395,47;27,46;6,18;vert;amer
orange;fruit;168,11;8,25;8,1;orange;sucré
pomme;fruit;168,2;;7,04;rouge;acide
concombre;légume;343,86;;4,34;vert;neutre
carotte;légume;102,42;20,02;2,8;orange;neutre
carotte;légume;83,59;16,89;3,39;orange;neutre
concombre;légume;270,11;17,15;5,44;vert;neutre
carotte;légume;121,72;18,75;3,21;orange;neutre
carotte;légume;87,59;21,93;3,0;orange;neutre
courgette;légume;280,57;20,8;5,27;vert;
courgette;légume;373,46;22,76;6,26;vert;amer
carotte;légume;97,84;17,78;2,64;orange;neutre
pomme;fruit;163,25;7,63;6,73;rouge;sucré
banane;fruit;128,56;19,14;3,78;jaune;sucré
concombre;légume;316,81;20,91;5,47;vert;neutre
pomme;fruit;179,61;7,06;6,94;jaune;acide
carotte;légume;113,0;20,01;3,05;orange;
banane;fruit;122,07;21,59;4,66;jaune;sucré
carotte;légume;82,97;16,87;2,55;orange;neutre
tomate;légume;88,69;5,96;5,58;rouge;acide
tomate;légume;83,8;;6,19;rouge;acide
carotte;légume;108,56;17,09;2,98;orange;neutre
orange;fruit;166,03;7,79;7,7;orange;acide
concombre;légume;295,08;22,19;5,01;vert;neutre
tomate;légume;123,56;7,29;6,03;rouge;acide
carotte;légume;95,7;15,76;3,32;orange;neutre
pomme;fruit;167,99;6,5;6,35;jaune;acide
concombre;légume;283,27;19,42;5,05;vert;neutre
tomate;légume;115,89;5,7;5,88;rouge;acide
concombre;légume;218,81;23,53;5,63;vert;neutre
kiwi;fruit;101,06;6,2;5,07;vert;acide
pomme;fruit;190,1;6,37;7,01;vert;acide
concombre;légume;274,84;20,35;5,08;vert;neutre
courgette;légume;368,28;20,84;5,66;vert;amer
orange;fruit;170,21;8,14;7,41;orange;sucré
concombre;légume;;22,1;5,24;vert;neutre
pomme;fruit;185,48;6,26;7,13;vert;acide
kiwi;fruit;86,08;6,42;4,96;vert;acide
courgette;légume;338,76;;6,21;vert;amer
kiwi;fruit;88,83;5,47;;jaune;acide
banane;fruit;133,15;19,94;4,4;jaune;sucré
concombre;légume;161,14;22,82;4,34;vert;neutre
pomme;fruit;164,56;6,72;6,33;rouge;acide
carotte;légume;77,37;;2,46;orange;neutre
courgette;légume;332,56;24,53;5,91;vert;amer
carotte;légume;76,25;18,65;3,69;orange;neutre
pomme;fruit;182,31;6,14;6,66;vert;sucré
concombre;légume;222,53;20,79;5,16;vert;neutre
tomate;légume;87,97;6,28;5,54;rouge;acide
concombre;légume;288,61;17,15;4,98;vert;neutre
carotte;légume;92,65;19,22;;orange;neutre
courgette;légume;;23,15;;vert;amer
concombre;légume;317,53;21,45;4,99;vert;neutre
carotte;légume;109,51;20,36;3,19;orange;neutre
orange;fruit;152,48;9,09;8,42;orange;acide
courgette;légume;309,27;26,77;;vert;amer
banane;fruit;135,51;20,06;4,02;jaune;sucré
tomate;légume;122,14;6,67;5,63;rouge;acide
banane;fruit;125,11;;4,38;jaune;sucré
concombre;légume;259,93;22,14;6,27;vert;neutre
kiwi;fruit;88,8;;5,17;jaune;acide
kiwi;fruit;84,71;6,61;5,14;jaune;acide
orange;fruit;159,8;8,32;8,53;orange;sucré
banane;fruit;128,11;17,69;4,79;jaune;sucré
pomme;fruit;171,97;6,72;6,62;rouge;acide
concombre;légume;304,17;19,63;4,85;vert;neutre
tomate;légume;127,34;5,09;7,16;rouge;acide
tomate;légume;;5,67;6,21;rouge;acide
courgette;légume;264,95;23,19;5,26;vert;amer
concombre;légume;351,52;22,03;4,38;vert;neutre
banane;fruit;117,2;;3,17;jaune;sucré
orange;fruit;157,4;8,52;8,28;orange;acide
kiwi;fruit;89,76;6,32;5,34;vert;acide
kiwi;fruit;85,34;5,38;4,75;vert;acide
banane;fruit;140,28;19,02;3,91;jaune;sucré
orange;fruit;164,6;6,58;7,79;orange;sucré
courgette;légume;433,72;19,22;5,96;vert;amer
kiwi;fruit;90,78;6,52;5,36;vert;acide
carotte;légume;92,47;17,92;3,58;orange;neutre
banane;fruit;118,06;18,56;3,46;jaune;sucré
kiwi;fruit;71,95;5,86;4,99;jaune;acide
orange;fruit;;8,41;8,35;orange;sucré
pomme;fruit;162,06;6,99;8,07;vert;acide
pomme;fruit;;6,68;7,35;vert;acide
concombre;légume;322,52;18,93;5,42;vert;neutre
banane;fruit;123,45;20,63;3,55;jaune;sucré
banane;fruit;122,96;;4,2;jaune;sucré
banane;fruit;117,53;19,8;4,23;jaune;sucré
banane;fruit;139,6;18,19;3,93;jaune;sucré
tomate;légume;115,09;;4,89;rouge;acide
kiwi;fruit;78,1;6,08;5,39;jaune;acide
pomme;fruit;157,85;6,77;6,7;jaune;acide
pomme;fruit;143,86;7,0;6,81;vert;acide
banane;fruit;129,82;19,85;3,92;jaune;sucré
orange;fruit;169,95;7,88;7,84;orange;acide
tomate;légume;132,19;6,42;6,58;rouge;acide
tomate;légume;96,3;6,27;6,02;rouge;acide
kiwi;fruit;72,4;6,13;4,75;jaune;acide
courgette;légume;365,25;22,4;6,17;vert;amer
carotte;légume;76,92;16,1;3,7;orange;neutre
tomate;légume;105,69;7,25;6,39;rouge;acide
tomate;légume;117,46;5,72;5,93;rouge;acide
courgette;légume;;26,05;5,61;vert;amer
banane;fruit;136,45;23,24;3,88;jaune;sucré
kiwi;fruit;79,85;5,84;5,45;jaune;acide
carotte;légume;108,35;16,63;2,8;orange;neutre
pomme;fruit;;6,67;8,09;vert;
pomme;fruit;190,05;7,59;6,95;jaune;acide
courgette;légume;392,48;22,38;5,99;vert;amer
orange;fruit;172,4;7,88;7,78;orange;acide
orange;fruit;174,61;7,45;7,72;orange;sucré
concombre;légume;293,56;26,28;5,66;vert;neutre
orange;fruit;168,39;7,79;8,44;orange;acide
carotte;légume;66,96;20,18;2,71;orange;neutre
courgette;légume;338,52;22,36;;vert;amer
pomme;fruit;159,38;7,17;6,58;vert;sucré
kiwi;fruit;76,33;6,22;4,49;jaune;acide
tomate;légume;97,45;5,16;6,53;rouge;acide
courgette;légume;;23,03;5,8;vert;amer
carotte;légume;92,19;17,07;2,86;orange;neutre
kiwi;fruit;;7,11;5,04;jaune;acide
tomate;légume;140,77;5,79;5,76;rouge;acide
courgette;légume;283,07;25,73;4,79;vert;amer
tomate;légume;112,13;6,08;5,95;;acide
orange;fruit;166,65;8,27;8,72;orange;acide
courgette;légume;434,52;26,94;7,0;vert;amer
pomme;fruit;168,04;7,55;5,82;jaune;acide
banane;fruit;125,6;22,17;4,08;jaune;sucré
tomate;légume;116,54;7,01;6,2;rouge;acide
courgette;légume;289,17;22,21;6,13;vert;amer
banane;fruit;139,52;21,4;4,51;jaune;sucré
orange;fruit;164,44;7,93;9,06;orange;acide
orange;fruit;156,15;8,01;7,8;orange;sucré
concombre;légume;359,25;21,04;5,3;vert;neutre
orange;fruit;150,84;7,04;7,55;orange;sucré
carotte;légume;105,27;18,03;2,37;orange;neutre
orange;fruit;164,32;8,1;8,88;orange;sucré
carotte;légume;;20,07;2,43;orange;neutre
courgette;légume;371,78;25,24;5,65;vert;amer
tomate;légume;131,31;5,77;5,62;rouge;acide
orange;fruit;165,67;7,18;8,36;orange;sucré
kiwi;fruit;;5,26;4,88;jaune;acide
concombre;légume;322,22;20,75;4,75;vert;neutre
kiwi;fruit;91,46;5,42;4,66;vert;acide
carotte;légume;107,51;21,24;2,37;orange;neutre
courgette;légume;298,36;22,28;6,68;vert;amer
courgette;légume;344,0;25,48;6,02;vert;amer
kiwi;fruit;87,16;5,75;5,1;vert;acide
pomme;fruit;155,36;;6,6;rouge;acide
tomate;légume;111,8;5,02;5,95;rouge;acide
courgette;légume;404,23;24,98;6,73;vert;amer
carotte;légume;72,0;17,42;3,06;orange;neutre
courgette;légume;415,99;25,45;6,1;vert;amer
courgette;légume;320,74;21,52;6,18;vert;amer
pomme;fruit;154,43;7,48;7,17;vert;acide
pomme;fruit;168,81;6,76;8,15;vert;sucré
pomme;fruit;172,79;7,75;7,3;vert;acide
courgette;légume;232,52;24,67;6,26;vert;amer
orange;fruit;156,41;7,69;9,62;orange;sucré
kiwi;fruit;83,56;;4,52;jaune;acide
carotte;légume;76,72;18,32;3,28;orange;neutre
banane;fruit;126,49;21,66;4,22;jaune;sucré
courgette;légume;298,98;23,71;5,64;vert;amer
banane;fruit;116,03;20,51;4,48;jaune;sucré
concombre;légume;322,93;18,43;4,82;vert;neutre
courgette;légume;366,02;;4,24;vert;amer
orange;fruit;179,47;9,17;7,54;orange;sucré
courgette;légume;368,06;24,85;6,66;;amer
kiwi;fruit;73,66;6,32;5,37;vert;acide
carotte;légume;93,26;21,89;3,28;orange;neutre
kiwi;fruit;;6,48;4,76;jaune;acide
carotte;légume;119,56;17,96;2,66;orange;neutre
courgette;légume;357,66;25,98;6,32;vert;amer
orange;fruit;164,34;8,65;7,39;orange;sucré
orange;fruit;167,75;8,82;;orange;acide
kiwi;fruit;67,11;5,78;5,33;jaune;acide
concombre;légume;307,17;23,07;4,37;vert;neutre
orange;fruit;;7,45;7,41;orange;acide
courgette;légume;341,21;24,25;6,33;vert;amer
banane;fruit;121,98;22,22;3,89;jaune;sucré
courgette;légume;431,33;19,04;;vert;amer
tomate;légume;111,27;6,7;5,48;rouge;acide
tomate;légume;127,65;5,9;5,67;rouge;acide
concombre;légume;339,99;20,2;5,13;vert;neutre
kiwi;fruit;80,08;6,54;4,96;vert;acide
orange;fruit;165,24;7,86;7,76;;sucré
banane;fruit;124,87;20,26;4,33;jaune;sucré
tomate;légume;99,81;5,93;6,54;rouge;acide
banane;fruit;131,88;21,51;3,72;jaune;sucré
courgette;légume;376,0;22,04;5,59;vert;amer
orange;fruit;163,11;8,14;7,73;orange;acide
kiwi;fruit;78,77;6,6;5,03;jaune;acide
pomme;fruit;136,86;;6,51;rouge;sucré
carotte;légume;85,62;18,0;;orange;neutre
carotte;légume;82,5;;2,49;orange;neutre
tomate;légume;118,44;6,13;6,47;rouge;acide
tomate;légume;120,45;6,47;6,07;rouge;acide
tomate;légume;100,63;5,79;5,22;rouge;acide
banane;fruit;138,51;19,79;4,16;jaune;sucré
pomme;fruit;171,3;6,59;6,73;;sucré
orange;fruit;168,75;7,58;7,6;orange;sucré
courgette;légume;268,35;22,85;6,48;vert;amer
carotte;légume;98,97;16,48;3,12;orange;neutre
tomate;légume;103,03;5,87;5,92;rouge;acide
kiwi;fruit;71,15;5,67;4,76;jaune;acide
pomme;fruit;184,28;6,81;6,79;vert;sucré
concombre;légume;386,6;;5,11;vert;neutre
pomme;fruit;178,19;7,17;7,27;vert;sucré
banane;fruit;127,06;;4,2;jaune;sucré
orange;fruit;172,86;7,07;7,82;orange;acide
tomate;légume;117,44;4,21;6,57;rouge;acide
banane;fruit;129,25;;3,41;jaune;sucré
tomate;légume;125,05;5,9;5,49;rouge;acide
pomme;fruit;203,06;6,61;6,38;vert;acide
kiwi;fruit;87,59;5,9;5,02;vert;acide
carotte;légume;84,19;17,7;2,35;orange;neutre
concombre;légume;373,7;17,33;5,67;vert;neutre
carotte;légume;104,6;20,77;3,4;orange;neutre
kiwi;fruit;75,64;6,61;5,02;vert;acide
kiwi;fruit;76,12;6,49;5,67;vert;acide
orange;fruit;157,45;8,71;8,36;orange;acide
courgette;légume;321,04;22,1;5,82;vert;amer
kiwi;fruit;69,07;5,61;4,75;jaune;acide
orange;fruit;163,58;7,97;8,29;orange;sucré
courgette;légume;450,95;23,46;5,58;vert;
pomme;fruit;158,49;7,38;7,56;jaune;
orange;fruit;149,73;8,02;;orange;acide
orange;fruit;158,51;7,36;7,99;orange;sucré
courgette;légume;296,17;20,44;6,75;vert;amer
tomate;légume;110,0;6,58;5,43;rouge;acide
banane;fruit;130,04;22,43;3,51;jaune;sucré
banane;fruit;127,54;18,74;4,87;jaune;sucré
kiwi;fruit;69,01;6,21;5,75;jaune;acide
banane;fruit;138,23;20,34;4,01;jaune;sucré
kiwi;fruit;104,84;6,14;6,04;jaune;acide
concombre;légume;317,76;22,02;5,35;vert;neutre
pomme;fruit;;7,29;6,79;rouge;sucré
kiwi;fruit;73,6;6,14;5,38;vert;acide
pomme;fruit;164,88;6,72;6,44;jaune;sucré
pomme;fruit;150,07;6,33;7,36;vert;acide
pomme;fruit;157,7;6,99;6,18;vert;sucré
courgette;légume;392,89;22,54;5,39;vert;amer
concombre;légume;289,84;20,67;5,01;vert;neutre
carotte;légume;;17,42;3,11;orange;neutre
courgette;légume;291,34;23,79;5,83;vert;amer
pomme;fruit;167,38;6,62;7,27;vert;acide
carotte;légume;98,82;19,24;2,24;orange;neutre
concombre;légume;306,86;22,78;4,77;vert;neutre
carotte;légume;;16,94;2,22;orange;neutre
carotte;légume;84,18;17,4;2,53;orange;neutre
kiwi;fruit;81,87;6,62;4,6;;acide
pomme;fruit;169,62;7,59;7,27;jaune;acide
kiwi;fruit;84,44;6,97;4,92;vert;acide
concombre;légume;335,91;20,97;4,9;vert;neutre
concombre;légume;262,42;24,24;4,85;vert;neutre
tomate;légume;113,6;6,09;5,85;rouge;acide
courgette;légume;405,12;23,67;5,72;vert;amer
courgette;légume;325,18;23,89;5,86;vert;amer
tomate;légume;89,91;5,82;5,82;rouge;acide
carotte;légume;95,9;16,84;3,44;orange;neutre
banane;fruit;132,33;24,84;4,35;jaune;sucré
pomme;fruit;184,99;7,03;7,04;vert;sucré
kiwi;fruit;80,46;6,06;5,32;vert;acide
concombre;légume;349,15;23,38;5,55;vert;neutre
kiwi;fruit;84,37;6,0;4,83;jaune;acide
orange;fruit;164,17;8,7;8,16;orange;acide
orange;fruit;156,19;7,56;8,63;orange;sucré
banane;fruit;135,85;18,84;;jaune;sucré
concombre;légume;332,93;21,84;;vert;neutre
carotte;légume;81,58;21,72;3,39;orange;neutre
kiwi;fruit;79,82;5,35;5,06;jaune;acide
orange;fruit;145,82;8,5;7,28;orange;sucré
concombre;légume;240,86;24,29;5,17;vert;neutre
concombre;légume;278,35;24,13;5,58;vert;neutre
kiwi;fruit;72,52;6,43;4,79;vert;acide
kiwi;fruit;80,46;6,37;4,22;jaune;acide
concombre;légume;305,32;21,74;4,2;vert;
carotte;légume;94,02;14,54;2,99;orange;neutre
courgette;légume;299,89;24,6;5,62;vert;amer
tomate;légume;111,12;5,77;5,62;rouge;acide
pomme;fruit;172,18;7,12;7,12;jaune;sucré
concombre;légume;357,67;22,27;5,58;vert;neutre
carotte;légume;85,88;16,21;3,12;orange;neutre
kiwi;fruit;85,05;6,05;4,51;vert;acide
orange;fruit;190,06;8,48;8,59;orange;sucré
orange;fruit;156,86;7,7;8,18;orange;sucré
tomate;légume;112,63;6,64;6,21;rouge;acide
courgette;légume;373,46;22,76;6,26;vert;amer
pomme;fruit;173,46;6,64;7,34;rouge;sucré
pomme;fruit;184,3;5,9;;vert;acide
orange;fruit;170,45;7,42;8,98;orange;acide
kiwi;fruit;79,78;5,63;4,73;jaune;acide
courgette;légume;307,47;24,21;4,95;vert;amer
orange;fruit;152,46;7,82;;orange;acide
concombre;légume;299,2;;4,23;vert;neutre
orange;fruit;168,22;;7,63;orange;acide
tomate;légume;105,4;5,8;5,75;rouge;acide
concombre;légume;359,84;21,05;4,58;vert;neutre
orange;fruit;180,79;9,34;8,38;orange;acide
pomme;fruit;185,6;6,7;7,91;rouge;sucré
tomate;légume;85,86;6,11;5,76;rouge;acide
pomme;fruit;157,02;6,95;6,79;jaune;acide
carotte;légume;85,89;20,8;3,37;orange;neutre
pomme;fruit;148,84;6,41;6,74;rouge;sucré
carotte;légume;98,15;20,07;3,4;orange;neutre
orange;fruit;151,49;7,69;8,7;orange;sucré
courgette;légume;390,65;25,32;5,83;vert;amer
concombre;légume;281,19;18,75;5,1;vert;neutre
kiwi;fruit;92,27;5,92;4,51;jaune;acide
kiwi;fruit;83,62;6,15;4,75;;acide
orange;fruit;158,05;7,37;8,05;orange;acide
concombre;légume;342,0;20,27;5,21;vert;neutre
concombre;légume;324,8;19,82;4,92;vert;neutre
pomme;fruit;139,09;7,55;7,78;rouge;acide
kiwi;fruit;75,63;5,79;5,12;vert;acide
banane;fruit;144,4;18,96;4,18;jaune;sucré
banane;fruit;122,67;20,76;4,24;jaune;sucré
courgette;légume;348,36;22,91;5,57;vert;amer
courgette;légume;370,32;20,84;6,83;vert;amer
concombre;légume;321,13;21,08;5,58;vert;neutre
banane;fruit;;22,43;;jaune;sucré
carotte;légume;88,09;18,77;3,28;orange;neutre
concombre;légume;317,84;20,74;5,53;;neutre
banane;fruit;145,46;21,65;4,19;jaune;sucré
tomate;légume;111,69;6,25;6,5;rouge;acide
concombre;légume;307,86;;5,08;vert;neutre
concombre;légume;282,42;;4,67;vert;neutre
kiwi;fruit;73,72;6,48;4,51;jaune;acide
courgette;légume;273,69;24,07;6,13;vert;amer
kiwi;fruit;80,67;5,87;6,21;vert;acide
pomme;fruit;173,71;6,25;6,51;rouge;sucré
carotte;légume;86,33;16,0;2,46;orange;neutre
carotte;légume;98,37;15,78;3,1;orange;neutre
kiwi;fruit;79,13;5,56;5,3;vert;acide
banane;fruit;138,9;21,07;4,02;jaune;sucré
banane;fruit;132,54;19,75;3,67;jaune;sucré
orange;fruit;169,2;6,97;8,17;orange;sucré
courgette;légume;364,65;24,76;6,24;vert;amer
orange;fruit;146,69;6,95;7,08;orange;
kiwi;fruit;81,93;5,61;5,29;jaune;acide
pomme;fruit;;7,74;6,7;jaune;acide
pomme;fruit;162,05;7,51;7,27;jaune;sucré
carotte;légume;85,27;16,12;3,1;orange;neutre
courgette;légume;301,33;26,01;6,2;vert;amer
tomate;légume;114,41;5,74;5,93;rouge;acide
concombre;légume;278,13;21,46;5,84;vert;neutre
concombre;légume;204,94;21,32;4,9;vert;neutre
courgette;légume;418,95;23,47;6,28;vert;amer
courgette;légume;356,94;26,35;6,02;vert;amer
courgette;légume;334,84;23,93;6,34;vert;amer
courgette;légume;469,58;24,77;6,03;vert;amer
concombre;légume;265,87;22,17;5,59;vert;neutre
banane;fruit;125,32;18,27;3,56;jaune;sucré
kiwi;fruit;73,02;5,76;4,56;jaune;acide
carotte;légume;73,15;17,35;2,61;orange;neutre
orange;fruit;166,46;8,64;7,78;orange;sucré
banane;fruit;105,15;21,38;4,13;jaune;sucré
kiwi;fruit;78,71;5,72;4,6;vert;acide
kiwi;fruit;95,21;7,07;4,81;jaune;acide
orange;fruit;176,06;8,95;6,79;orange;acide
concombre;légume;298,78;21,8;4,47;vert;neutre
tomate;légume;93,75;5,44;6,33;rouge;acide
orange;fruit;149,0;8,29;7,71;orange;acide
banane;fruit;125,52;18,49;4,41;jaune;sucré
kiwi;fruit;87,75;5,96;5,31;jaune;acide
concombre;légume;277,5;23,97;4,7;vert;neutre
banane;fruit;129,26;19,89;4,79;jaune;sucré
banane;fruit;128,61;21,81;3,82;jaune;sucré
courgette;légume;367,74;28,03;6,58;vert;amer
pomme;fruit;178,95;7,38;6,82;;acide
kiwi;fruit;78,08;5,85;5,28;vert;acide
carotte;légume;106,78;19,1;3,28;orange;neutre
concombre;légume;;19,57;4,44;vert;neutre
banane;fruit;119,34;20,09;4,04;jaune;sucré
courgette;légume;383,98;24,3;5,83;vert;amer
carotte;légume;103,98;17,53;3,45;orange;neutre
orange;fruit;158,09;7,42;8,33;orange;acide
courgette;légume;279,65;21,78;5,98;vert;amer
tomate;légume;102,49;6,01;6,48;rouge;acide
carotte;légume;;19,26;2,68;orange;neutre
kiwi;fruit;82,69;6,78;4,99;jaune;acide
kiwi;fruit;85,67;6,01;4,94;jaune;acide
carotte;légume;79,22;19,49;2,92;orange;neutre
tomate;légume;112,87;6,45;5,23;rouge;acide
kiwi;fruit;84,08;6,5;4,83;vert;acide
pomme;fruit;155,06;7,33;7,43;jaune;acide
concombre;légume;250,91;25,32;5,45;vert;neutre
banane;fruit;137,46;20,26;4,5;jaune;sucré
courgette;légume;289,16;;5,64;vert;amer
orange;fruit;148,16;7,91;;orange;sucré
concombre;légume;283,31;21,41;;vert;neutre
orange;fruit;156,91;8,65;7,92;;acide
banane;fruit;112,38;20,82;4,43;jaune;sucré
concombre;légume;341,81;22,7;4,85;vert;neutre
courgette;légume;329,69;22,77;6,35;vert;amer
courgette;légume;334,37;25,72;6,33;;amer
banane;fruit;125,32;18,39;4,09;jaune;sucré
pomme;fruit;167,29;7,69;5,89;vert;sucré
concombre;légume;405,74;23,74;4,53;vert;neutre
